x_id,x_kind,disposition,pressure_id,source_id,model_path,instance_id,instance_version,value,provenance,custody,invariant_check_ids,enforcement_reality,open_pressure_disposition,cause_classification,classification_evidence,current_project_fit,evolution_change,independent_reason,semantic_proof_authority_custody_preservation,migration_cost,affected_artifacts,current_form_representable,evolved_form_representable,post_evolution_fit,unresolved_discriminator
supporting.Attempt.fields.ended_at,Attempt,construct-pressure,PR-ATTEMPT-DISPOSITION,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Attempt.fields.ended_at,"AT-SCOPE-1,AT-SCOPE-2,AT-RUN-1,AT-RUN-2,AT-W1-1,AT-W1-2",1,set on 27/27; APPROXIMATED on ['AT-RUN-1'],wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),reconstructed from git and forge; no runtime record,see instance + wfh-008-validate.py output,specified-not-enforced,pressure,model-defect; project-evolution-candidate; historical-evidence-gap,"AT-RUN-1 terminated on platform credit exhaustion. No actor recorded a disposition. Attempt.disposition is required with enum[continue,hold,cancel,rework,complete] - no abandoned/interrupted/unknown value exists. `hold` is written and marked _approx; it is a reconstruction by AC-COORD, not the attempt's own record. This is the same argument the review's R2 finding made for splitting gate_outcome from assessment (an abandoned assessment must leave a trace), applied to Attempt, where V5 did not apply it.",NOT FAITHFULLY REPRESENTABLE,see CF-03 - the reconstructing coordinator writes a typed interruption record against the interrupted Attempt,wfh-008 lost every phase boundary for two phases and the replacement leader reconstructed state by hand across three surfaces; the run itself carried this into factory-retro as a lesson,preserves only if the record stays explicitly authored by the RESUMING actor at reconstruction time and never claims to be the interrupted actor's own disposition,"theme-coordination protocol, the leader and coordinator contracts, and a record category; low-moderate. Real risk: a typed handover is easier to write than to write honestly, and the historical comment's best property - naming what is permanently missing and refusing to backfill - is a discipline no schema enforces",.claude/workflow/theme-coordination.md; .claude/agents/factory/theme-coordinator.md; .claude/agents/factory/research-leader.md,no,partially,"STILL NOT FULLY REPRESENTABLE - CF-03 supplies the resume side, which V5 already carries well, and leaves the termination side exactly as it was. The model defect survives the project evolution, per the amendment's rule.",not-applicable
supporting.Attempt.fields.disposition,Attempt,construct-pressure,PR-ATTEMPT-DISPOSITION,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Attempt.fields.disposition,"AT-SCOPE-1,AT-SCOPE-2,AT-RUN-1,AT-RUN-2,AT-W1-1,AT-W1-2",1,set on 27/27; APPROXIMATED on ['AT-RUN-1'],wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),reconstructed from git and forge; no runtime record,see instance + wfh-008-validate.py output,specified-not-enforced,pressure,model-defect; project-evolution-candidate; historical-evidence-gap,"AT-RUN-1 terminated on platform credit exhaustion. No actor recorded a disposition. Attempt.disposition is required with enum[continue,hold,cancel,rework,complete] - no abandoned/interrupted/unknown value exists. `hold` is written and marked _approx; it is a reconstruction by AC-COORD, not the attempt's own record. This is the same argument the review's R2 finding made for splitting gate_outcome from assessment (an abandoned assessment must leave a trace), applied to Attempt, where V5 did not apply it.",NOT FAITHFULLY REPRESENTABLE,see CF-03 - the reconstructing coordinator writes a typed interruption record against the interrupted Attempt,wfh-008 lost every phase boundary for two phases and the replacement leader reconstructed state by hand across three surfaces; the run itself carried this into factory-retro as a lesson,preserves only if the record stays explicitly authored by the RESUMING actor at reconstruction time and never claims to be the interrupted actor's own disposition,"theme-coordination protocol, the leader and coordinator contracts, and a record category; low-moderate. Real risk: a typed handover is easier to write than to write honestly, and the historical comment's best property - naming what is permanently missing and refusing to backfill - is a discipline no schema enforces",.claude/workflow/theme-coordination.md; .claude/agents/factory/theme-coordinator.md; .claude/agents/factory/research-leader.md,no,partially,"STILL NOT FULLY REPRESENTABLE - CF-03 supplies the resume side, which V5 already carries well, and leaves the termination side exactly as it was. The model defect survives the project evolution, per the amendment's rule.",not-applicable
supporting.Attempt.fields.resume_requirements,Attempt,construct-pressure,PR-ATTEMPT-RESUME-OWNER,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Attempt.fields.resume_requirements,AT-RUN-2,1,"populated in full on AT-RUN-2 - the strongest positive witness for the field - but authored by the RESUMING actor about the INTERRUPTED attempt, and the model does not say which Attempt owns it",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),reconstructed from git and forge; no runtime record,see instance + wfh-008-validate.py output,specified-not-enforced,pressure,model-defect,"resume_requirements sits on Attempt, but the model does not say which Attempt owns it. Historically the payload was authored by the RESUMING actor (AC-LEAD-2) about the INTERRUPTED attempt. The instance places it on AT-RUN-2.",representable; the placement is unforced and two readings are equally conforming,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable
supporting.Attempt.relations.unit,Attempt,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Attempt.relations.unit,"AT-SCOPE-1,AT-SCOPE-2,AT-RUN-1,AT-RUN-2,AT-W1-1,AT-W1-2",1,"non-empty on 27/27; declared inverse, closed mechanically",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),reconstructed from git and forge; no runtime record,see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Attempt.relations.actors,Attempt,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Attempt.relations.actors,"AT-SCOPE-1,AT-SCOPE-2,AT-RUN-1,AT-RUN-2,AT-W1-1,AT-W1-2",1,"non-empty on 27/27; one-way, served by index",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),reconstructed from git and forge; no runtime record,see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Attempt.relations.governed_by,Attempt,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Attempt.relations.governed_by,"AT-SCOPE-1,AT-SCOPE-2,AT-RUN-1,AT-RUN-2,AT-W1-1,AT-W1-2",1,"non-empty on 27/27; declared inverse, closed mechanically",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),reconstructed from git and forge; no runtime record,see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Attempt.relations.produces,Attempt,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Attempt.relations.produces,"AT-SCOPE-1,AT-SCOPE-2,AT-RUN-2,AT-W1-1,AT-W1-2,AT-W1-3",1,"non-empty on 26/27; one-way, served by index",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),reconstructed from git and forge; no runtime record,see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Technology.versioned,Technology,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Technology.versioned,"TE-METAHARNESS,TE-RUFLO,TE-RETORT",1,versioned=True; the checker enforces presence/absence of a version on every instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),Unimatrix,see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Technology.identity,Technology,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Technology.identity,"TE-METAHARNESS,TE-RUFLO,TE-RETORT",1,identity=technology_id; opaque ids in the instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),Unimatrix,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Technology.form,Technology,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Technology.form,"TE-METAHARNESS,TE-RUFLO,TE-RETORT",1,form=entity,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),Unimatrix,see instance + wfh-008-validate.py output,not-applicable,S3: form is undocumented in notation,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Technology.status,Technology,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Technology.status,none,not-applicable,"model status=OPEN; consumed as test input, not as permission to fill holes",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),Unimatrix,see instance + wfh-008-validate.py output,not-applicable,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Technology.owner,Technology,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Technology.owner,none,not-applicable,owner=Program,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),Unimatrix,see instance + wfh-008-validate.py output,specified-not-enforced,S3: owner is undocumented in notation,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Technology.invariants,Technology,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Technology.invariants,none,not-applicable,cites ['I11'],wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),Unimatrix,see instance + wfh-008-validate.py output,see the invariant rows,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Technology.fields.name,Technology,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Technology.fields.name,"TE-METAHARNESS,TE-RUFLO,TE-RETORT",1,set on 3/3 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),Unimatrix,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Technology.fields.grade,Technology,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Technology.fields.grade,"TE-METAHARNESS,TE-RUFLO,TE-RETORT",1,set on 3/3 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),Unimatrix,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Technology.fields.constraints,Technology,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Technology.fields.constraints,"TE-METAHARNESS,TE-RUFLO,TE-RETORT",1,set on 3/3 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),Unimatrix,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Technology.fields.evidence_record_refs,Technology,not-applicable,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Technology.fields.evidence_record_refs,none,not-applicable,optional field; the alphabet supplies no value,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),Unimatrix,see instance + wfh-008-validate.py output,not-applicable,missing-history,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Technology.relations.enables,Technology,not-applicable,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Technology.relations.enables,none,not-applicable,empty on every instance - no historical occurrence,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),Unimatrix,see instance + wfh-008-validate.py output,specified-not-enforced,missing-history,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Technology.open[0],Technology,construct-pressure,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Technology.open[0],none,not-applicable,adopted component versus conceptual mechanism,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),Unimatrix,see instance + wfh-008-validate.py output,not-applicable,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Technology.open[1],Technology,construct-pressure,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Technology.open[1],none,not-applicable,expiry and reassessment,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),Unimatrix,see instance + wfh-008-validate.py output,not-applicable,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.scope_type,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.scope_type,registry_extensions,1,4 model seeds + 0 program-owned extensions authored here,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,seeds only,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.scope_type.shape,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.scope_type.shape,registry_extensions,1,every authored extension conforms to the declared shape; the checker verifies it key by key,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.scope_type.admission_rule,Registry,not-applicable,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.scope_type.admission_rule,none,not-applicable,no extension authored,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.scope_type.seeded.collective,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.scope_type.seeded.collective,none,not-applicable,used by at least one instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.scope_type.seeded.program,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.scope_type.seeded.program,none,not-applicable,used by at least one instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.scope_type.seeded.mission,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.scope_type.seeded.mission,none,not-applicable,used by at least one instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.scope_type.seeded.team,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.scope_type.seeded.team,none,not-applicable,used by at least one instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.capability_classification,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.capability_classification,registry_extensions,1,4 model seeds + 0 program-owned extensions authored here,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,seeds only,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.capability_classification.shape,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.capability_classification.shape,registry_extensions,1,every authored extension conforms to the declared shape; the checker verifies it key by key,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.capability_classification.admission_rule,Registry,not-applicable,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.capability_classification.admission_rule,none,not-applicable,no extension authored,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.capability_classification.seeded.functional,Registry,not-applicable,PR-CAPABILITY-CLASSIFICATION-UNUSED,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.capability_classification.seeded.functional,none,not-applicable,no historical occurrence in this case,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,missing-history,historical-evidence-gap,"registry.capability_classification carries four seeds (functional, nonfunctional, threshold, curve). None is exercised, because the case instantiates zero Capability objects. The registry cannot be tested by this case at all.",not exercised,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable
registries.capability_classification.seeded.nonfunctional,Registry,not-applicable,PR-CAPABILITY-CLASSIFICATION-UNUSED,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.capability_classification.seeded.nonfunctional,none,not-applicable,no historical occurrence in this case,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,missing-history,historical-evidence-gap,"registry.capability_classification carries four seeds (functional, nonfunctional, threshold, curve). None is exercised, because the case instantiates zero Capability objects. The registry cannot be tested by this case at all.",not exercised,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable
registries.capability_classification.seeded.threshold,Registry,not-applicable,PR-CAPABILITY-CLASSIFICATION-UNUSED,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.capability_classification.seeded.threshold,none,not-applicable,no historical occurrence in this case,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,missing-history,historical-evidence-gap,"registry.capability_classification carries four seeds (functional, nonfunctional, threshold, curve). None is exercised, because the case instantiates zero Capability objects. The registry cannot be tested by this case at all.",not exercised,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable
registries.capability_classification.seeded.curve,Registry,not-applicable,PR-CAPABILITY-CLASSIFICATION-UNUSED,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.capability_classification.seeded.curve,none,not-applicable,no historical occurrence in this case,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,missing-history,historical-evidence-gap,"registry.capability_classification carries four seeds (functional, nonfunctional, threshold, curve). None is exercised, because the case instantiates zero Capability objects. The registry cannot be tested by this case at all.",not exercised,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable
registries.event_type,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.event_type,registry_extensions,1,9 model seeds + 1 program-owned extensions authored here,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,admission_rule applied and recorded,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.event_type.shape,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.event_type.shape,registry_extensions,1,every authored extension conforms to the declared shape; the checker verifies it key by key,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.event_type.admission_rule,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.event_type.admission_rule,registry_extensions,1,applied to each authored entry with a stated behavioral justification,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.event_type.seeded.communication,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.event_type.seeded.communication,none,not-applicable,used by at least one instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.event_type.seeded.decision,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.event_type.seeded.decision,none,not-applicable,used by at least one instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.event_type.seeded.observation,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.event_type.seeded.observation,none,not-applicable,used by at least one instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.event_type.seeded.assessment,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.event_type.seeded.assessment,none,not-applicable,used by at least one instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.event_type.seeded.gate_outcome,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.event_type.seeded.gate_outcome,none,not-applicable,used by at least one instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.event_type.seeded.transition,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.event_type.seeded.transition,none,not-applicable,used by at least one instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.event_type.seeded.effect_request,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.event_type.seeded.effect_request,none,not-applicable,used by at least one instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.event_type.seeded.effect_disposition,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.event_type.seeded.effect_disposition,none,not-applicable,used by at least one instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.event_type.seeded.adaptation,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.event_type.seeded.adaptation,none,not-applicable,used by at least one instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.event_type.extension.unrecorded_change,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.event_type.extension.unrecorded_change,none,not-applicable,program-owned extension authored and used by this instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
registries.record_category,Registry,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",registries.record_category,registry_extensions,1,0 model seeds + 9 program-owned extensions authored here,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),not-applicable,see instance + wfh-008-validate.py output,specified-not-enforced,admission_rule applied and recorded,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
