x_id,x_class,row_scope,source_id,model_path,instance_id,instance_version,value,provenance,custody,invariant_check_ids,enforcement_reality,open_pressure_disposition,w1_disposition,w2_disposition,reconciled_disposition,divergence_class,divergence_adjudication,w3_fixture_ids,w3_results,w3_adverse,cause_classification,classification_evidence,current_project_fit,evolution_change,independent_reason,semantic_proof_authority_custody_preservation,migration_cost,affected_artifacts,current_form_representable,evolved_form_representable,post_evolution_fit,unresolved_discriminator,evolution_candidate_id,evolution_challenge_result,w4_adjudication
supporting.Workflow.relations.binds,supporting-relation,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.relations.binds,"[W1] WF-RESEARCH-SCOPE || [W2] WF-01,WF-02",1,"[W1] non-empty on 1/1; declared inverse, closed mechanically || [W2] MEASURED 2/2 Workflow objects populate `binds` (WF-01, WF-02). Prior boilerplate witness replaced by the measurement.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] measured-join (vnc-045-instance.yaml),[W1] git .claude/ - inside the governed repository || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] mechanically checkable and checked || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.relations.binds.cardinality,supporting-relation-cardinality,model-X,"[W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.relations.binds.cardinality,"[W2] WF-01,WF-02",not-applicable,[W2] instantiated in vnc-045-instance.yaml,[W2] see instance,[W2] see instance,not-applicable,[W2] none - no common checker implements this model,not-applicable,not-enumerated,exercised,exercised,w1-not-enumerated,"W1 did not enumerate this X item. Its 468-row enumeration rolls relation sub-keys, per-invariant bindings, construct `definition` and registry seed-fields up into coarser rows; W2's 679-row enumeration matches the SCOPE X clause literally and is adopted as the canonical spine. Reconciled from W2 alone - absence is not filled.",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.relations.binds.inverse,supporting-relation-inverse,model-X,"[W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.relations.binds.inverse,"[W2] WF-01,WF-02",not-applicable,[W2] instantiated in vnc-045-instance.yaml,[W2] see instance,[W2] see instance,[W3] F-B14,[W2] none - no common checker implements this model,not-applicable,not-enumerated,exercised,exercised,w1-not-enumerated,"W1 did not enumerate this X item. Its 468-row enumeration rolls relation sub-keys, per-invariant bindings, construct `definition` and registry seed-fields up into coarser rows; W2's 679-row enumeration matches the SCOPE X clause literally and is adopted as the canonical spine. Reconciled from W2 alone - absence is not filled.",F-B14,rejected-mechanically,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.relations.governs,supporting-relation,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.relations.governs,"[W1] WF-RESEARCH-SCOPE || [W2] WF-01,WF-02",1,"[W1] non-empty on 1/1; declared inverse, closed mechanically || [W2] MEASURED 2/2 Workflow objects populate `governs` (WF-01, WF-02). Prior boilerplate witness replaced by the measurement.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] measured-join (vnc-045-instance.yaml),[W1] git .claude/ - inside the governed repository || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] mechanically checkable and checked || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.relations.governs.cardinality,supporting-relation-cardinality,model-X,"[W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.relations.governs.cardinality,"[W2] WF-01,WF-02",not-applicable,[W2] instantiated in vnc-045-instance.yaml,[W2] see instance,[W2] see instance,not-applicable,[W2] none - no common checker implements this model,not-applicable,not-enumerated,exercised,exercised,w1-not-enumerated,"W1 did not enumerate this X item. Its 468-row enumeration rolls relation sub-keys, per-invariant bindings, construct `definition` and registry seed-fields up into coarser rows; W2's 679-row enumeration matches the SCOPE X clause literally and is adopted as the canonical spine. Reconciled from W2 alone - absence is not filled.",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.relations.governs.inverse,supporting-relation-inverse,model-X,"[W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.relations.governs.inverse,"[W2] WF-01,WF-02",not-applicable,[W2] instantiated in vnc-045-instance.yaml,[W2] see instance,[W2] see instance,not-applicable,[W2] none - no common checker implements this model,not-applicable,not-enumerated,exercised,exercised,w1-not-enumerated,"W1 did not enumerate this X item. Its 468-row enumeration rolls relation sub-keys, per-invariant bindings, construct `definition` and registry seed-fields up into coarser rows; W2's 679-row enumeration matches the SCOPE X clause literally and is adopted as the canonical spine. Reconciled from W2 alone - absence is not filled.",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.relations.supersedes,supporting-relation,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.relations.supersedes,not-applicable,not-applicable,[W1] empty on every instance - no historical occurrence || [W2] no workflow version change observed; T01/T02 carry no version identifier at all.,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] git .claude/ - inside the governed repository || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] missing-history || [W2] not-exercised,not-applicable,not-applicable,not-applicable,agree,"[GUARD-FOUND beyond the auditor's six] RW-3 GUARD: measured directly from both case instances — populated witnesses wfh-008=0, vnc-045=0. Neither history supplies a witness, so `exercised` is a label promoted over an untested value. Absence is not filled. The prior boilerplate (""one history supplies a witness and the other does not"") is REPLACED: on this row neither did.",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,"RW-3 GUARD: measured directly from both case instances — populated witnesses wfh-008=0, vnc-045=0. Neither history supplies a witness, so `exercised` is a label promoted over an untested value. Absence is not filled. Disposition `not-applicable` was already correct before this guard ran (W2's RW-1 rework reached it independently); the row is annotated with the measurement, not moved."
supporting.Workflow.relations.supersedes.cardinality,supporting-relation-cardinality,model-X,"[W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.relations.supersedes.cardinality,"[W2] WF-01,WF-02",not-applicable,[W2] instantiated in vnc-045-instance.yaml,[W2] see instance,[W2] see instance,not-applicable,[W2] none - no common checker implements this model,not-applicable,not-enumerated,exercised,not-applicable,w1-not-enumerated,"[GUARD-FOUND beyond the auditor's six] RW-3 GUARD: measured directly from both case instances — populated witnesses wfh-008=0, vnc-045=0. Neither history supplies a witness, so `exercised` is a label promoted over an untested value. Absence is not filled. The prior boilerplate (""one history supplies a witness and the other does not"") is REPLACED: on this row neither did.",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,"RW-3 GUARD: measured directly from both case instances — populated witnesses wfh-008=0, vnc-045=0. Neither history supplies a witness, so `exercised` is a label promoted over an untested value. Absence is not filled. Dispositioned `not-applicable` on the measured reason: the construct or relation has no occurrence in either history, so the sub-rule has nothing to be exercised by. || RW-3 DISPOSITION CHANGE: exercised -> not-applicable."
supporting.Workflow.relations.supersedes.rule,supporting-relation-rule,model-X,"[W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.relations.supersedes.rule,"[W2] WF-01,WF-02",not-applicable,[W2] instantiated in vnc-045-instance.yaml,[W2] see instance,[W2] see instance,not-applicable,[W2] none - no common checker implements this model,not-applicable,not-enumerated,exercised,not-applicable,w1-not-enumerated,"[GUARD-FOUND beyond the auditor's six] RW-3 GUARD: measured directly from both case instances — populated witnesses wfh-008=0, vnc-045=0. Neither history supplies a witness, so `exercised` is a label promoted over an untested value. Absence is not filled. The prior boilerplate (""one history supplies a witness and the other does not"") is REPLACED: on this row neither did.",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,"RW-3 GUARD: measured directly from both case instances — populated witnesses wfh-008=0, vnc-045=0. Neither history supplies a witness, so `exercised` is a label promoted over an untested value. Absence is not filled. Dispositioned `not-applicable` on the measured reason: the construct or relation has no occurrence in either history, so the sub-rule has nothing to be exercised by. || RW-3 DISPOSITION CHANGE: exercised -> not-applicable."
supporting.Workflow.extension_owner.unit_kinds,supporting-extension_owner,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.extension_owner.unit_kinds,"[W1] registry_extensions || [W2] WF-01,WF-02",1,[W1] owner=program; exercised by the program-owned registry extensions in this instance || [W2] instantiated in vnc-045-instance.yaml,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] git .claude/ - inside the governed repository || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] S6: I19 binds from Workflow only,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,model-defect,"[W1] I19 (program extensions may not weaken common invariants) is cited by Workflow ALONE, yet this instance registers program-owned extensions on unit_kind, record_category, effect_class and event_type - owned by Workflow, Scope, Scope and the registry respectively. Three of the four owners are not Workflow, so nothing binds I19 to them. Review finding S6 raised exactly this and it is unresolved in the pinned file.","[W1] representable; the extensions conform, and no per-construct binding required them to",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,[W1] yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.extension_owner.states,supporting-extension_owner,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.extension_owner.states,"[W1] registry_extensions || [W2] WF-01,WF-02",1,[W1] owner=program; exercised by the program-owned registry extensions in this instance || [W2] instantiated in vnc-045-instance.yaml,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] git .claude/ - inside the governed repository || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] S6: I19 binds from Workflow only,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,model-defect,"[W1] I19 (program extensions may not weaken common invariants) is cited by Workflow ALONE, yet this instance registers program-owned extensions on unit_kind, record_category, effect_class and event_type - owned by Workflow, Scope, Scope and the registry respectively. Three of the four owners are not Workflow, so nothing binds I19 to them. Review finding S6 raised exactly this and it is unresolved in the pinned file.","[W1] representable; the extensions conform, and no per-construct binding required them to",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,[W1] yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.extension_owner.dependency_rules,supporting-extension_owner,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.extension_owner.dependency_rules,"[W1] registry_extensions || [W2] WF-01,WF-02",1,[W1] owner=program; exercised by the program-owned registry extensions in this instance || [W2] instantiated in vnc-045-instance.yaml,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] git .claude/ - inside the governed repository || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] S6: I19 binds from Workflow only,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,model-defect,"[W1] I19 (program extensions may not weaken common invariants) is cited by Workflow ALONE, yet this instance registers program-owned extensions on unit_kind, record_category, effect_class and event_type - owned by Workflow, Scope, Scope and the registry respectively. Three of the four owners are not Workflow, so nothing binds I19 to them. Review finding S6 raised exactly this and it is unresolved in the pinned file.","[W1] representable; the extensions conform, and no per-construct binding required them to",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,[W1] yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.invariants.I18,supporting-invariant-binding,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.invariants.I18,"[W2] WF-01,WF-02",not-applicable,"[W1] cites ['I18', 'I19'] || [W2] instantiated in vnc-045-instance.yaml",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] git .claude/ - inside the governed repository || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] see the invariant rows || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.invariants.I19,supporting-invariant-binding,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.invariants.I19,"[W2] WF-01,WF-02",not-applicable,"[W1] cites ['I18', 'I19'] || [W2] instantiated in vnc-045-instance.yaml",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] git .claude/ - inside the governed repository || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] see the invariant rows || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.open[0]:method admission and improvement evidence,supporting-open,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.open[0]:method admission and improvement evidence,[W2] WF-02,not-applicable,"[W1] method admission and improvement evidence || [W2] Exercised adversely: T01/T02 are unversioned living files, so no assessment can pin a gate_version_ref and no method change is an adaptation Event.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] git .claude/ - inside the governed repository || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W2] none - no common checker implements this model,[W1] still-open || [W2] still-open,construct-pressure,exercised,construct-pressure,divergent,"MATERIAL DIVERGENCE: one case carries the construct without strain and the other strains against it. Both stand: the `exercised` side is a witness that the construct can carry at least one history, the `construct-pressure` side is evidence the construct does not carry every history. Reconciled to `construct-pressure`; the positive witness is retained in `value`.",not-applicable,not-applicable,not-applicable,enforcement-gap,[W2] The protocol has no version identifier and no admission record.,[W2] specified-not-enforced,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,[W2] true,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.open[1]:cross-program reuse,supporting-open,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Workflow.open[1]:cross-program reuse,[W2] WF-02,not-applicable,"[W1] cross-program reuse || [W2] Observable but outside the alphabet: .claude/protocols/ carries both uni-* and ndp-* protocol families, i.e. the same shape reused across programs. Not asserted from the fixed alphabet.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] git .claude/ - inside the governed repository || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W2] none - no common checker implements this model,[W1] still-open || [W2] still-open,construct-pressure,exercised,construct-pressure,divergent,"MATERIAL DIVERGENCE: one case carries the construct without strain and the other strains against it. Both stand: the `exercised` side is a witness that the construct can carry at least one history, the `construct-pressure` side is evidence the construct does not carry every history. Reconciled to `construct-pressure`; the positive witness is retained in `value`.",not-applicable,not-applicable,not-applicable,unresolved,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,"W4-SUPPLIED CAUSE: W1 dispositioned this row construct-pressure with cause_classification not-applicable, which the amendment's coverage clause 9 forbids. W4 classifies it `unresolved`: the row records an unsettled OPEN item, and the evidence does not yet discriminate model-defect from historical-evidence-gap. It counts as neither conforming nor rejecting evidence."
supporting.Skill.status,supporting-attr,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Skill.status,[W2] SK-01..SK-03,not-applicable,"[W1] model status=OPEN; consumed as test input, not as permission to fill holes || [W2] instantiated in vnc-045-instance.yaml",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] git .claude/agents frontmatter || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Skill.form,supporting-attr,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Skill.form,"[W1] SK-READ-ONLY-RESEARCH,SK-FINDINGS-AUTHORING,SK-RUN-ORCHESTRATION || [W2] SK-01..SK-03",1,[W1] form=entity || [W2] instantiated in vnc-045-instance.yaml,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] git .claude/agents frontmatter || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W2] none - no common checker implements this model,[W1] S3: form is undocumented in notation,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Skill.identity,supporting-attr,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Skill.identity,"[W1] SK-READ-ONLY-RESEARCH,SK-FINDINGS-AUTHORING,SK-RUN-ORCHESTRATION || [W2] SK-01..SK-03",1,[W1] identity=skill_id; opaque ids in the instance || [W2] instantiated in vnc-045-instance.yaml,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] git .claude/agents frontmatter || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Skill.versioned,supporting-attr,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Skill.versioned,"[W1] SK-READ-ONLY-RESEARCH,SK-FINDINGS-AUTHORING,SK-RUN-ORCHESTRATION || [W2] SK-01..SK-03",1,[W1] versioned=True; the checker enforces presence/absence of a version on every instance || [W2] instantiated in vnc-045-instance.yaml,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] git .claude/agents frontmatter || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] mechanically checkable and checked || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Skill.definition,supporting-attr,model-X,"[W2] M01,M02,M06,S01-S06,T01-T03",supporting.Skill.definition,[W2] SK-01..SK-03,not-applicable,[W2] instantiated in vnc-045-instance.yaml,[W2] see instance,[W2] see instance,not-applicable,[W2] none - no common checker implements this model,not-applicable,not-enumerated,exercised,exercised,w1-not-enumerated,"W1 did not enumerate this X item. Its 468-row enumeration rolls relation sub-keys, per-invariant bindings, construct `definition` and registry seed-fields up into coarser rows; W2's 679-row enumeration matches the SCOPE X clause literally and is adopted as the canonical spine. Reconciled from W2 alone - absence is not filled.",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Skill.owner,supporting-attr,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Skill.owner,[W2] SK-01..SK-03,not-applicable,[W1] owner=Collective or Program || [W2] instantiated in vnc-045-instance.yaml,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] git .claude/agents frontmatter || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] S3: owner is undocumented in notation,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Skill.fields.name,supporting-field,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Skill.fields.name,"[W1] SK-READ-ONLY-RESEARCH,SK-FINDINGS-AUTHORING,SK-RUN-ORCHESTRATION,SK-PHASE-GATING,SK-GIT-AND-ISSUE-OPS,SK-BUDGET-CONTROL || [W2] SK-01..SK-03",1,"[W1] set on 16/16 instances || [W2] MEASURED 3/3 Skill objects populate `name` (SK-01, SK-02, SK-03). Prior boilerplate witness replaced by the measurement.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] measured-join (vnc-045-instance.yaml),[W1] git .claude/agents frontmatter || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Skill.fields.work_class,supporting-field,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Skill.fields.work_class,"[W1] SK-READ-ONLY-RESEARCH,SK-FINDINGS-AUTHORING,SK-RUN-ORCHESTRATION,SK-PHASE-GATING,SK-GIT-AND-ISSUE-OPS,SK-BUDGET-CONTROL || [W2] SK-01..SK-03",1,"[W1] set on 16/16 instances || [W2] MEASURED 3/3 Skill objects populate `work_class` (SK-01, SK-02, SK-03). Prior boilerplate witness replaced by the measurement.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] measured-join (vnc-045-instance.yaml),[W1] git .claude/agents frontmatter || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Skill.fields.definition_record_ref,supporting-field,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Skill.fields.definition_record_ref,"[W1] SK-READ-ONLY-RESEARCH,SK-FINDINGS-AUTHORING",1,[W1] set on 2/16 instances || [W2] no skill definition record exists.,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] git .claude/agents frontmatter || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] n/a || [W2] not-exercised,exercised,not-applicable,exercised,divergent,"CASE-DIFFERENCE, not contradiction: one history supplies a witness and the other does not. Reconciled to `exercised` - the run as a whole has a witness. Neither case is corrected by the other.",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Skill.fields.required_tool_classes,supporting-field,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",supporting.Skill.fields.required_tool_classes,"[W1] SK-READ-ONLY-RESEARCH,SK-FINDINGS-AUTHORING,SK-GIT-AND-ISSUE-OPS,SK-GRAPH-AUTHORING || [W2] SK-01..SK-03",1,"[W1] set on 4/16 instances || [W2] MEASURED 2/3 Skill objects populate `required_tool_classes` (SK-01, SK-02). Prior boilerplate witness replaced by the measurement.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] measured-join (vnc-045-instance.yaml),[W1] git .claude/agents frontmatter || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
